player_id,team,player,interceptionsAVG,interceptionsINT,interceptionsTD,interceptionsYDS,kickReturnsAVG,kickReturnsLONG,kickReturnsNO,kickReturnsTD,kickReturnsYDS,kickingFGA,kickingFGM,kickingLONG,kickingPCT,kickingPTS,kickingXPA,kickingXPM,passingATT,passingCOMPLETIONS,passingINT,passingPCT,passingTD,passingYDS,passingYPA,puntReturnsAVG,puntReturnsLONG,puntReturnsNO,puntReturnsTD,puntReturnsYDS,puntingIn 20,puntingLONG,puntingNO,puntingTB,puntingYDS,puntingYPP,receivingLONG,receivingREC,receivingTD,receivingYDS,receivingYPR,rushingCAR,rushingLONG,rushingTD,rushingYDS,rushingYPC
103799,Stanford,Stanley Wilson,51.0,1.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103800,Stanford,Leigh Torrence,6.0,4.0,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103806,Stanford,Kenneth Tolon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,0.0,37.0,6.2,116.0,44.0,3.0,422.0,3.6
103807,Stanford,Jared Newberry,9.0,1.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,-2.0,-2.0
103820,Stanford,Alex Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,52.0,3.0,706.0,13.6,,,,,
103829,SMU,Matt Rushbrook,,,,,,,,,,,,,,,,,2.0,2.0,0.0,1.0,1.0,34.0,17.0,,,,,,,,,,,,27.0,14.0,1.0,108.0,7.7,2.0,4.0,0.0,6.0,3.0
103837,SMU,Derron Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,6.0,0.0,35.0,5.8,33.0,15.0,3.0,112.0,3.4
103847,SMU,Derek Swofford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,
103861,SMU,Clay Glockzin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,6.0,6.0,,,,,
103889,SMU,Allan Adami,8.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103946,Wisconsin,Chuckie Cowans,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103959,Wisconsin,Broderick Williams,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,
103960,Wisconsin,Anthony Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,13.0,0.0,96.0,7.4,201.0,45.0,11.0,973.0,4.8
103962,Toledo,Michael Broussard,-2.0,1.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103963,Wisconsin,Tony Paciotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,3.0,0.0,40.0,13.3,,,,,
103991,New Mexico,Tali Ena,,,,,,,,,,,,,,,,,41.0,13.0,2.0,0.317,0.0,157.0,3.8,,,,,,,,,,,,,,,,,7.0,11.0,1.0,10.0,1.4
103992,Washington State,Karl Paymah,2.5,2.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104001,Washington State,Hamza Abdullah,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104019,BYU,Aaron Wagner,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104026,Washington State,Steve Cook,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104562,Kansas State,Antoine Polite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,10.0,1.0,89.0,8.9,,,,,
104594,Kansas State,Brian Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,21.0,2.0,277.0,13.2,,,,,
104605,Illinois,Matt Minnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,42.0,1.0,0.0,42.0,42.0,,,,,,,,,,
104610,Middle Tennessee,Kerry Wright,,,,,,,,,,,,,,,,,,,,,,,,8.7,75.0,21.0,1.0,183.0,,,,,,,80.0,76.0,11.0,1048.0,13.8,4.0,10.0,0.0,13.0,3.3
104623,Middle Tennessee,Nick McAfee,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,1.0,0.0,15.0,,,,,,,20.0,5.0,1.5,60.0,12.3,1.0,0.0,0.0,-4.0,-4.0
104669,Colorado,Bobby Purify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,19.0,0.0,194.0,10.2,207.0,48.0,7.0,942.0,4.6
104670,Colorado State,Marcus Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3.0,0.0,49.0,16.3,57.0,40.0,2.0,206.0,3.6
104693,Colorado,Quinn Sypniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,16.0,2.5,237.5,12.350000000000001,,,,,
104723,Colorado,Jesse Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,1.0,37.0,5.3,,,,,
104726,Colorado,Sam Wilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-2.0,0.0
104783,TCU,Cody McCarty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,17.0,2.0,321.0,18.9,,,,,
104785,TCU,Brandon Hassell,,,,,,,,,,,,,,,,,217.0,123.0,3.0,0.567,10.0,1724.0,7.9,,,,,,,,,,,,,,,,,63.0,17.0,4.0,106.0,1.7
104792,TCU,Marvin Godbolt,29.0,1.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104793,TCU,Kenny Boyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,38.0,1.0,113.0,4.2
104811,TCU,Reggie Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,32.0,4.0,595.0,18.6,,,,,
104840,Indiana,Aaron Halterman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,1.0,62.0,10.3,,,,,
104841,Indiana,David Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,15.0,0.0,149.0,9.9,,,,,
104925,Arkansas,Steven Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,37.0,4.0,617.0,16.7,2.0,9.0,0.0,5.0,2.5
105098,North Carolina,Scott Brumett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,6.0,1.0,66.0,11.0,,,,,
105182,Hawai'i,Timmy Chang,,,,,,,,,,,,,,,,,602.0,358.0,13.0,0.595,38.0,4258.0,7.1,,,,,,,,,,,,,,,,,37.0,22.0,2.0,15.0,0.4
105183,Hawai'i,Justin Ayat,,,,,,,,,,15.0,11.0,56.0,0.733,87.0,60.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105188,Hawai'i,Gerald Welch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,45.0,5.0,515.0,11.4,,,,,
105191,Hawai'i,Leonard Peters,29.5,2.5,0.5,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105194,Hawai'i,Chad Kapanui,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
105198,Hawai'i,Abraham Elimimian,6.0,5.0,1.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105269,UCLA,Tab Perry,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,47.0,22.0,3.0,375.0,17.0,0.0,12.0,1.0,12.0,0.0
105279,UCLA,Chris Kluwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,68.0,61.0,0.0,2647.0,43.4,,,,,,1.0,0.0,0.0,-23.0,-23.0
105294,UCLA,Craig Bragg,,,,,,,,,,,,,,,,,,,,,,,,13.0,96.0,22.0,1.0,285.0,,,,,,,41.0,36.0,4.0,483.0,13.4,1.0,2.0,0.0,2.0,2.0
105295,Tulane,Roydell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,52.0,12.0,826.0,15.9,1.0,0.0,0.0,-7.0,-7.0
105314,Tulane,Chris Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,37.0,7.0,665.0,18.0,2.0,2.0,0.0,1.0,0.5
105341,Oregon,Ryan Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,0.0,8.0,4.0,15.0,26.0,0.0,74.0,4.9
105349,Oregon,Kenny Washington,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,1.0,0.0,14.0,,,,,,,29.0,9.0,0.0,89.0,9.9,48.0,44.0,1.0,161.0,3.4
105395,Oregon,Keith Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,7.0,0.0,99.0,14.1,1.0,25.0,0.0,25.0,25.0
105399,Utah,Paris Warren,,,,,,,,,,,,,,,,,2.0,1.0,0.0,0.5,0.0,21.0,10.5,1.1,6.0,11.0,0.0,12.0,,,,,,,65.0,80.0,12.0,1076.0,13.5,28.0,17.0,2.0,157.0,5.6
105428,Missouri,Henry Sweat,9.0,1.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105429,Missouri,Brock Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,53.0,16.0,0.0,625.0,39.1,,,,,,,,,,
105446,Missouri,Shirdonya Mitchell,7.8,4.0,0.0,31.0,,,,,,,,,,,,,,,,,,,,5.8,13.0,4.0,0.0,23.0,,,,,,,,,,,,,,,,
105450,Missouri,Phil Pitts,49.0,1.0,1.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105461,Ole Miss,Kerry Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,27.0,0.0,338.0,12.5,1.0,1.0,0.0,1.0,1.0
105470,Ole Miss,Rick Razzano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,8.0,0.0,69.0,8.6,15.0,15.0,0.0,58.0,3.9
